Trait	Definition
A4FGL	α2,3-sialylation per galactose within fucosylated tetra-antennary glycans
A1F0GL	α2,3-sialylation per galactose within non-fucosylated monoantennary glycans
A2F0GL	α2,3-sialylation per galactose within non-fucosylated diantennary glycans
A3F0GL	α2,3-sialylation per galactose within non-fucosylated triantennary glycans
A4F0GL	α2,3-sialylation per galactose within non-fucosylated tetra-antennary glycans
CE	Average number of α2,6-linked sialic acids on complex glycans
A1E	α2,6-sialylation per antenna within monoantennary glycans
A2E	α2,6-sialylation per antenna within diantennary glycans
A3E	α2,6-sialylation per antenna within triantennary glycans
A4E	α2,6-sialylation per antenna within tetra-antennary glycans
A1FE	α2,6-sialylation per antenna within fucosylated monoantennary glycans
A2FE	α2,6-sialylation per antenna within fucosylated diantennary glycans
A3FE	α2,6-sialylation per antenna within fucosylated triantennary glycans
A4FE	α2,6-sialylation per antenna within fucosylated tetra-antennary glycans
A1F0E	α2,6-sialylation per antenna within non-fucosylated monoantennary glycans
A2F0E	α2,6-sialylation per antenna within non-fucosylated diantennary glycans
A3F0E	α2,6-sialylation per antenna within non-fucosylated triantennary glycans
A4F0E	α2,6-sialylation per antenna within non-fucosylated tetra-antennary glycans
A1GE	α2,6-sialylation per galactose within monoantennary glycans
A2GE	α2,6-sialylation per galactose within diantennary glycans
A3GE	α2,6-sialylation per galactose within triantennary glycans
A4GE	α2,6-sialylation per galactose within tetra-antennary glycans
A1FGE	α2,6-sialylation per galactose within fucosylated monoantennary glycans
A2FGE	α2,6-sialylation per galactose within fucosylated diantennary glycans
A3FGE	α2,6-sialylation per galactose within fucosylated triantennary glycans
A4FGE	α2,6-sialylation per galactose within fucosylated tetra-antennary glycans
A1F0GE	α2,6-sialylation per galactose within non-fucosylated monoantennary glycans
A2F0GE	α2,6-sialylation per galactose within non-fucosylated diantennary glycans
A3F0GE	α2,6-sialylation per galactose within non-fucosylated triantennary glycans
A4F0GE	α2,6-sialylation per galactose within non-fucosylated tetra-antennary glycans
CPl	Relative abundance of species with poly-LacNAc within all complex glycans
A2Pl	Relative abundance of species with poly-LacNAc within diantennary glycans
A2FPl	Relative abundance of species with poly-LacNAc within fucosylated diantennary
A2F0Pl	Relative abundance of species with poly-LacNAc within non-fucosylated diantennary glycans
A2SPl	Relative abundance of species with poly-LacNAc within sialylated diantennary glycans
A2S0Pl	Relative abundance of species with poly-LacNAc within non-sialylated diantennary glycans
A2FSPl	Relative abundance of species with poly-LacNAc within fucosylated sialylated diantennary glycans
A2F0SPl	Relative abundance of species with poly-LacNAc within non-fucosylated sialylated diantennary glycans
A2FS0Pl	Relative abundance of species with poly-LacNAc within fucosylated non-sialylated diantennary glycans
A2F0S0Pl	Relative abundance of species with poly-LacNAc within non-fucosylated non-sialylated diantennary glycans
A2LPl	Relative abundance of species with poly-LacNAc within a2,3-sialylated diantennary glycans
A2L0Pl	Relative abundance of species with poly-LacNAc within non-a2,3-sialylated diantennary glycans
A2FLPl	Relative abundance of species with poly-LacNAc within fucosylated a2,3-sialylated diantennary glycans
A2F0LPl	Relative abundance of species with poly-LacNAc within non-fucosylated a2,3-sialylated diantennary glycans
A2FL0Pl	Relative abundance of species with poly-LacNAc within fucosylated non-a2,3-sialylated diantennary glycans
A2F0L0Pl	Relative abundance of species with poly-LacNAc within non-fucosylated non-a2,3-sialylated diantennary glycans
A2EPl	Relative abundance of species with poly-LacNAc within a2,6-sialylated diantennary glycans
A2E0Pl	Relative abundance of species with poly-LacNAc within non-a2,6-sialylated diantennary glycans
A2FEPl	Relative abundance of species with poly-LacNAc within fucosylated a2,6-sialylated diantennary glycans
A2F0EPl	Relative abundance of species with poly-LacNAc within non-fucosylated a2,6-sialylated diantennary glycans
A2FE0Pl	Relative abundance of species with poly-LacNAc within fucosylated non-a2,6-sialylated diantennary glycans
A2F0E0Pl	Relative abundance of species with poly-LacNAc within non-fucosylated non-a2,6-sialylated diantennary glycans
A3Pl	Relative abundance of species with poly-LacNAc within triantennary glycans
